name,type,base_byte,base_word,byte_size,element_count,description
conv1_weight_int8,int8,0,0,150,150,
conv1_bias_int32,int32,152,38,24,6,
conv1_requant_multiplier,int32_scalar,176,44,4,1,
conv2_weight_int8,int8,180,45,2400,2400,
conv2_bias_int32,int32,2580,645,64,16,
conv2_requant_multiplier,int32_scalar,2644,661,4,1,
conv3_weight_int8,int8,2648,662,48000,48000,
conv3_bias_int32,int32,50648,12662,480,120,
conv3_requant_multiplier,int32_scalar,51128,12782,4,1,
fc1_weight_int8,int8,51132,12783,10080,10080,
fc1_bias_int32,int32,61212,15303,336,84,
fc1_requant_multiplier,int32_scalar,61548,15387,4,1,
fc2_weight_int8,int8,61552,15388,840,840,
fc2_bias_int32,int32,62392,15598,40,10,
fc2_requant_multiplier,int32_scalar,62432,15608,4,1,
